,GEO.id,zip_code,GEO.display-label,poulation,percent_employed,inc_<10k,inc_10-15k,inc_15-25k,median_inc,mean_inc,percent_no_health,percent_public_health
59,8600000US60091,60091,ZCTA5 60091,20317,61.3,2.1,1.3,4,129551,189243,4.5,18.4
60,8600000US60093,60093,ZCTA5 60093,14218,58.7,2.1,0.9,3.3,163719,262846,3.3,20.7
61,8600000US60096,60096,ZCTA5 60096,5740,71.1,4.9,1,7,73304,83209,6.5,26.5
62,8600000US60097,60097,ZCTA5 60097,8260,77.8,6.6,2,7.1,64292,69167,9.4,21.5
63,8600000US60098,60098,ZCTA5 60098,25477,68.5,5.8,4.4,10.3,60666,75032,10.6,27.9
64,8600000US60099,60099,ZCTA5 60099,23355,68.1,8.1,6.8,8.2,54152,63742,13.4,34
65,8600000US60101,60101,ZCTA5 60101,30111,71.5,5.1,2.5,13.2,55915,73572,18.5,33.1
66,8600000US60102,60102,ZCTA5 60102,24588,75.7,2.4,1.2,4,99655,111130,6.3,16.2
67,8600000US60103,60103,ZCTA5 60103,32219,73.6,2,2.5,5.6,93352,107047,6.3,16.8
68,8600000US60104,60104,ZCTA5 60104,15026,65.9,5.2,4.6,12.1,50244,58007,17.7,34.1
69,8600000US60106,60106,ZCTA5 60106,15830,72.1,4.9,4.6,9.1,57624,66401,23.2,24.9
70,8600000US60107,60107,ZCTA5 60107,31451,76.8,2,1.2,6.1,73587,89021,12.5,21.6
71,8600000US60108,60108,ZCTA5 60108,19087,68.6,2.6,2.4,6.7,72602,94608,10.1,23.4
72,8600000US60109,60109,ZCTA5 60109,448,79,2.8,0.9,9.7,61125,77925,11.8,19.4
73,8600000US60110,60110,ZCTA5 60110,27762,73.9,6.8,2.6,9.4,56654,70671,18.6,30.3
74,8600000US60111,60111,ZCTA5 60111,270,61.1,7,3.9,0,71534,85911,4,26.6
75,8600000US60112,60112,ZCTA5 60112,3276,78.5,2,3.7,10.2,70737,71914,10.7,22.8
76,8600000US60113,60113,ZCTA5 60113,244,77,8.6,0,11.2,46250,62117,12,24.3
77,8600000US60115,60115,ZCTA5 60115,38577,66.7,17.3,6.7,14.6,37922,51851,9.5,23.8
78,8600000US60118,60118,ZCTA5 60118,12342,72.1,2.9,2,4.8,78091,96995,7.5,19.8
79,8600000US60119,60119,ZCTA5 60119,7909,73.3,4,0.3,7.9,90833,114390,7.3,14.6
80,8600000US60120,60120,ZCTA5 60120,36882,72.8,6.4,3.3,8.7,53543,65455,21.4,29.6
81,8600000US60123,60123,ZCTA5 60123,36475,70.3,6.5,3.3,10.2,55012,66572,18.4,30.3
82,8600000US60124,60124,ZCTA5 60124,15049,72.4,1.7,2.5,0.8,102059,117918,2.1,18.3
83,8600000US60126,60126,ZCTA5 60126,35606,67,2.7,1.6,7.3,93308,121490,4.9,18.8
84,8600000US60129,60129,ZCTA5 60129,151,74.8,0,0,7.8,73750,92630,9.8,17.4
85,8600000US60130,60130,ZCTA5 60130,11966,75.1,4.2,6,11.3,51055,75057,13.1,22.7
86,8600000US60131,60131,ZCTA5 60131,14477,70.4,3.4,4.1,11.3,54102,66459,19.7,28.8
87,8600000US60133,60133,ZCTA5 60133,28382,75.1,4,2.7,5.7,68974,77179,16.3,26.8
88,8600000US60134,60134,ZCTA5 60134,21878,68.2,2.5,2.6,4.8,103401,126268,4.8,14.4
89,8600000US60135,60135,ZCTA5 60135,5374,73.3,5.1,2.3,10,61798,69643,9,24.9
90,8600000US60136,60136,ZCTA5 60136,4903,81.1,0,0,0,105379,113524,4.5,9.9
91,8600000US60137,60137,ZCTA5 60137,29464,68.7,5.2,1.7,6.3,89386,126836,6.7,20.5
92,8600000US60139,60139,ZCTA5 60139,26707,76.3,3.7,2.7,7.2,63039,72959,14.8,26
93,8600000US60140,60140,ZCTA5 60140,10205,77.9,2,1.9,4.8,78235,92542,7.1,19.3
94,8600000US60141,60141,ZCTA5 60141,173,9.2,0,0,0,-,N,3.5,59.3
95,8600000US60142,60142,ZCTA5 60142,21079,55.5,1.5,0.9,6.4,75572,88095,4.1,32.2
96,8600000US60143,60143,ZCTA5 60143,8219,70.2,3.6,2.5,6.9,74598,93452,8.2,19.4
97,8600000US60144,60144,ZCTA5 60144,43,86,0,0,6.7,103750,86093,1.6,3.1
98,8600000US60145,60145,ZCTA5 60145,1937,79.3,1.5,2.4,5.1,86932,87741,10.2,17.5
99,8600000US60146,60146,ZCTA5 60146,2065,66.5,3.3,3,10.9,57717,68361,14.3,26.1
100,8600000US60148,60148,ZCTA5 60148,43356,70.7,3.4,2.7,6.2,70448,83413,9,23.2
101,8600000US60150,60150,ZCTA5 60150,1182,66.3,0.9,5.9,15.2,52109,60336,12.2,31.7
102,8600000US60151,60151,ZCTA5 60151,3342,73.1,3,1.6,10.9,68265,85392,9.1,18.9
103,8600000US60152,60152,ZCTA5 60152,9930,68.1,4.6,3.8,7.1,63013,79310,7.6,30
104,8600000US60153,60153,ZCTA5 60153,19447,58.3,11.5,7,12.4,42295,55985,22.6,41.7
105,8600000US60154,60154,ZCTA5 60154,13937,62.4,3.6,3.8,9.9,68422,78760,8.3,31.6
106,8600000US60155,60155,ZCTA5 60155,6647,64.8,3.9,4.4,18.1,51690,69328,17.1,29.9
107,8600000US60156,60156,ZCTA5 60156,21091,78.5,1.9,1.2,7,85570,94817,9.2,14.5
108,8600000US60157,60157,ZCTA5 60157,1770,71.1,0,0,11.5,79844,103641,2,24.4
109,8600000US60160,60160,ZCTA5 60160,18290,69.1,4.3,5.7,16.6,45208,55210,25.1,37.5
110,8600000US60162,60162,ZCTA5 60162,6544,63.8,5.5,4.8,11.2,53868,64142,15,29.9
111,8600000US60163,60163,ZCTA5 60163,4126,71.4,3.3,0.9,7.4,62581,81208,16.4,21.9
112,8600000US60164,60164,ZCTA5 60164,17272,67.2,2.9,4.3,13.5,56891,65611,16.8,31.7
113,8600000US60165,60165,ZCTA5 60165,3414,63.6,7,4.1,18.5,38214,46038,30.8,36.6
114,8600000US60169,60169,ZCTA5 60169,26885,74.6,4.4,2.6,6.6,68864,82728,15,22.4
115,8600000US60171,60171,ZCTA5 60171,8512,68.2,8.5,5.2,11.6,46354,56165,24.4,30.9
116,8600000US60172,60172,ZCTA5 60172,19357,74.5,2.3,2,6.1,76512,91311,7.1,20.7
117,8600000US60173,60173,ZCTA5 60173,10123,79.8,6.7,0.4,6.2,66556,79962,11.4,13.3
118,8600000US60174,60174,ZCTA5 60174,25392,70.5,2,2.8,5.8,76938,106817,8.3,22.9
119,8600000US60175,60175,ZCTA5 60175,19545,65.2,1.2,0.6,2.7,125219,153417,3.7,13.7
120,8600000US60176,60176,ZCTA5 60176,9216,69.1,2.8,5,17.7,41813,57173,21.2,28.4
121,8600000US60177,60177,ZCTA5 60177,16470,75.6,1.5,3.2,4.7,85642,94205,6,12.9
122,8600000US60178,60178,ZCTA5 60178,17905,70.3,6,3.7,6.5,64274,75093,11.5,22.8
123,8600000US60180,60180,ZCTA5 60180,1081,61.6,6,1,15.3,57176,82074,11.4,36
124,8600000US60181,60181,ZCTA5 60181,23221,71.5,3.5,1.9,9.2,69144,77062,14,25.5
125,8600000US60184,60184,ZCTA5 60184,2075,72,1,0,0,171667,200228,6.8,14.5
126,8600000US60185,60185,ZCTA5 60185,26995,72.4,4,1.5,6.6,69183,91087,16.7,29
127,8600000US60187,60187,ZCTA5 60187,23037,64.6,3.1,3.8,5.6,84419,109210,7.1,20.5
128,8600000US60188,60188,ZCTA5 60188,33722,77.4,4.5,3.2,7.2,76033,84391,10.4,22
129,8600000US60189,60189,ZCTA5 60189,24786,72.6,3.2,2.2,4.5,93179,123072,5.4,19.1
130,8600000US60190,60190,ZCTA5 60190,8613,68.5,2.9,2,4.8,95025,118831,5.3,18
131,8600000US60191,60191,ZCTA5 60191,11428,67.3,2.6,3.1,10.3,61439,73688,13.1,32.6
132,8600000US60192,60192,ZCTA5 60192,12862,74.4,0.8,1.7,1.1,115285,130841,6,12.4
133,8600000US60193,60193,ZCTA5 60193,32688,70.6,2.9,2.7,7.4,72939,84797,7.6,23.2
134,8600000US60194,60194,ZCTA5 60194,16171,70,2.5,2.5,4.8,73261,87230,11.9,23
135,8600000US60195,60195,ZCTA5 60195,3349,80.5,3.4,0.9,6.2,62877,75816,9.3,9.1
136,8600000US60201,60201,ZCTA5 60201,35905,58.4,12.4,4.1,6.9,65589,109570,6.7,20
137,8600000US60202,60202,ZCTA5 60202,25660,73.4,4.9,3.6,7.8,68321,96124,9.9,20.3
138,8600000US60203,60203,ZCTA5 60203,3465,65.6,4.3,1.2,2.3,113947,165488,5,21.8
139,8600000US60301,60301,ZCTA5 60301,1903,71.9,5.5,1,6.8,61367,79666,7,23.7
140,8600000US60302,60302,ZCTA5 60302,25266,72.7,5.4,4.5,6.4,77385,120867,7.3,18.9
141,8600000US60304,60304,ZCTA5 60304,13165,75.2,6,1,6.5,85607,103722,7.1,15.9
142,8600000US60305,60305,ZCTA5 60305,8583,61.4,4.7,2.2,6.1,113317,179798,5.3,15.6
143,8600000US60401,60401,ZCTA5 60401,6361,61.5,3.3,7.1,6.9,64063,73117,7.8,25.5
144,8600000US60402,60402,ZCTA5 60402,48412,68.2,6.1,4,12.9,53402,64407,17.8,33.3
145,8600000US60403,60403,ZCTA5 60403,15783,61.1,4.5,6.3,11.9,46716,57656,13.9,33.5
