,GEO.id,zip_code,GEO.display-label,total_population,percent_age_under_5,percent_age_5-9,percent_age_10-14,percent_age_15-19,percent_age_20-24,percent_age_25-34,percent_age_35-44,percent_age_45-54,percent_age_55-59,percent_age_60-64,percent_age_65-74,percent_age_75-84,percent_age85_and_over,percent_age_65_and_over,median_age
33,8600000US60050,60050,ZCTA5 60050,32369,6.3,6.7,7.2,7,5.8,12.9,13.7,17.4,5.9,5.4,6,3.7,2.1,11.8,38.3
34,8600000US60051,60051,ZCTA5 60051,24664,5.4,6.2,6,7.9,7,11.6,13.7,17,6.6,7,7.5,3.2,0.9,11.5,39.9
35,8600000US60053,60053,ZCTA5 60053,23341,5.3,6.7,5.1,4.2,4.7,12.4,11.3,13.1,7.9,6.9,11.7,7.2,3.4,22.3,45.1
36,8600000US60056,60056,ZCTA5 60056,55611,6,6.8,6.5,5.7,5.2,13.8,14.4,15.4,6.3,5.2,7.6,5.4,1.7,14.7,39.3
37,8600000US60060,60060,ZCTA5 60060,37586,7.2,6.1,7.5,7.8,6.3,12.2,14.9,15.5,7.3,6.4,5.5,2.8,0.6,8.9,36.8
38,8600000US60061,60061,ZCTA5 60061,26029,6.4,7.7,7.7,6.5,5.1,11.6,16.3,17.7,6.4,5,5,2,2.9,9.8,37.9
39,8600000US60062,60062,ZCTA5 60062,40095,4.6,7.2,6.4,6.8,3.8,6,12.3,16.2,7.7,6.2,10.9,7.7,4.1,22.7,47.1
40,8600000US60064,60064,ZCTA5 60064,16297,10,9.1,7.5,8.2,8.8,16.3,11.5,11.7,5.4,3.8,4.4,2.8,0.5,7.7,29.3
41,8600000US60067,60067,ZCTA5 60067,38450,6.5,6.7,6,6.7,4,11.3,13.2,17.5,7.4,6.5,8.7,4.1,1.3,14.1,41.6
42,8600000US60068,60068,ZCTA5 60068,37421,4.7,6.7,7.7,7.5,4.5,6.8,12.9,17.4,8.3,5.8,8.6,5.7,3.5,17.8,44.5
43,8600000US60069,60069,ZCTA5 60069,8132,4.1,7,6.6,4.8,4,3.6,11.8,14.8,7.9,7.6,10.9,10.6,6.3,27.8,49.8
44,8600000US60070,60070,ZCTA5 60070,15937,6.1,7.7,5.7,5,7.5,14.6,12.8,14.7,5.5,5.4,8.5,5.1,1.3,14.9,36.9
45,8600000US60071,60071,ZCTA5 60071,3488,2.4,3.9,5.5,4.9,8.4,11.2,15.3,19.2,8.7,8.1,7.3,3.8,1.3,12.4,44.1
46,8600000US60072,60072,ZCTA5 60072,976,5,8.1,15.2,9.1,4.3,5,13.7,23.2,5.1,5,4.2,1.5,0.5,6.3,40.5
47,8600000US60073,60073,ZCTA5 60073,60237,9.7,9.4,8.7,6.8,6.6,15.8,17.3,12.7,4.3,3.1,3.5,1.6,0.5,5.7,31.2
48,8600000US60074,60074,ZCTA5 60074,39053,8.6,7,6.6,7.3,5.6,17.7,14.5,14.5,5.6,4,5,2.8,1,8.8,33
49,8600000US60076,60076,ZCTA5 60076,32922,4.8,6.1,5.5,6.5,5.7,12.3,10.1,14,8.9,8.3,8.7,6.2,2.8,17.7,43.9
50,8600000US60077,60077,ZCTA5 60077,27189,5.7,5.2,4.7,6.2,5.6,11.7,13,14.1,8.1,6.7,9.7,5.4,3.8,18.9,42.7
51,8600000US60081,60081,ZCTA5 60081,9939,3.4,8.8,10.1,7.8,4.7,6.8,12.4,22.6,6.8,6.2,6.3,3.1,0.9,10.3,42.8
52,8600000US60083,60083,ZCTA5 60083,9909,4,5.9,8.9,8.2,4.6,12,13.6,17.5,6.6,5.1,7.7,3.6,2.5,13.7,41.3
53,8600000US60084,60084,ZCTA5 60084,16304,6.6,6.9,8.4,6.9,6.2,12.5,14.3,16.8,5.7,4.9,6.1,3.7,0.9,10.7,36.8
54,8600000US60085,60085,ZCTA5 60085,70997,8.4,9.1,8.2,8.4,8.3,16.1,13.7,11.8,4.8,3.8,3.9,2.4,1.2,7.5,30
55,8600000US60087,60087,ZCTA5 60087,26679,6.7,7.8,7.5,7.6,7.7,14.1,14.2,14.3,5.8,4.4,5.5,3.4,0.8,9.8,33.1
56,8600000US60088,60088,ZCTA5 60088,13274,4.6,3.2,1.8,30.6,29.6,23.9,4.2,1.6,0.3,0.2,0,0.1,0,0.1,21.2
57,8600000US60089,60089,ZCTA5 60089,41645,5.4,7.1,6.4,6.3,4.2,10.1,14.8,18.8,8.3,6.4,6.7,3.3,2.2,12.2,42.6
58,8600000US60090,60090,ZCTA5 60090,37744,6.7,6.5,4.7,6.1,5.5,17.1,14.8,13.1,6.5,6.1,6.8,4.1,2,12.9,37.1
59,8600000US60091,60091,ZCTA5 60091,27268,5.5,8.1,10,7.7,3.3,4.8,12.3,16.4,8,6.2,8.9,5.8,2.9,17.6,43.8
60,8600000US60093,60093,ZCTA5 60093,19010,6.3,8.2,8.8,8.7,3.4,5,11,18.1,7.1,5.5,10.8,5.2,1.8,17.7,44.3
61,8600000US60096,60096,ZCTA5 60096,7001,3.8,5.1,6.9,9.6,5.3,10.5,13.4,16.4,7.8,9.2,7.9,3,1.3,12.3,43.2
62,8600000US60097,60097,ZCTA5 60097,10758,7.7,6.9,7.8,5.7,5.8,12.5,16,17.9,5.7,4.4,6.3,3.1,0.3,9.7,36.5
63,8600000US60098,60098,ZCTA5 60098,32549,6.3,7.5,6.6,6.7,5.4,12,14.5,15,6.8,6.3,7.4,3.4,2.1,12.9,38.7
64,8600000US60099,60099,ZCTA5 60099,31593,7.6,8,8.4,9,6.3,12.6,13.8,14,5.6,5,5.4,3,1.5,9.9,33.4
65,8600000US60101,60101,ZCTA5 60101,39657,7.2,9,6.2,6.7,6.3,16.1,11.6,13.5,7,4.9,6.7,3.7,1.3,11.6,33.9
66,8600000US60102,60102,ZCTA5 60102,32166,6,5.8,9.1,8.9,4.6,9.5,16.6,17.4,6.5,6.5,6.5,1.9,0.7,9.1,39.6
67,8600000US60103,60103,ZCTA5 60103,42209,6.3,7.5,7.9,8.7,4.2,11.9,14.9,18,6.3,5.5,5.5,2.2,1.1,8.9,37.1
68,8600000US60104,60104,ZCTA5 60104,19061,6.8,6.5,6.3,8.7,8.3,12.8,13.6,12.1,7.8,6.2,6.6,3.6,0.7,11,35.7
69,8600000US60106,60106,ZCTA5 60106,20276,7,8.3,5.6,5.9,6.3,17.4,13.2,13.8,6,6.3,4.6,3.5,2.1,10.2,34.7
70,8600000US60107,60107,ZCTA5 60107,40677,7,7.2,6.7,6.9,6.3,16.9,14.3,16,5.9,4,5.4,2.8,0.7,8.8,34.5
71,8600000US60108,60108,ZCTA5 60108,22975,6.2,6.3,3.8,4.2,4.8,14.9,12.8,13.3,8.8,8.5,8.4,5.1,2.9,16.4,42.6
72,8600000US60109,60109,ZCTA5 60109,567,4.9,6.5,8.5,11.6,1.8,12.7,12.9,15.2,10.1,8.3,0.5,6.3,0.7,7.6,37.9
73,8600000US60110,60110,ZCTA5 60110,38998,8.4,10.5,8.6,7.7,7.3,15.7,15.6,13.7,3.8,3.5,3.1,1.8,0.4,5.2,29.9
74,8600000US60111,60111,ZCTA5 60111,376,3.5,3.5,14.1,17.3,0,2.7,9.6,18.1,1.3,15.2,10.6,2.1,2.1,14.9,44.8
