,zip_code,percent_employed,percent_no_health,percent_public_health,total_population,population_porportion,percent_age_over_65,percent_age_under_14,percent_low_income
0,60002,69.5,9.399999618530273,22.399999618530273,24250.0,0.0018870775820687413,12.0,19.299999237060547,8.699999809265137
1,60004,68.0,8.699999809265137,22.600000381469727,49957.0,0.0038875355385243893,17.100000381469727,18.0,4.300000190734863
2,60005,68.19999694824219,10.600000381469727,23.600000381469727,30931.0,0.002406977117061615,16.100000381469727,19.400001525878906,7.199999809265137
3,60007,70.19999694824219,8.699999809265137,22.100000381469727,33973.0,0.0026436983607709408,14.90000057220459,16.0,5.599999904632568
4,60008,69.5999984741211,19.5,26.200000762939453,22302.0,0.001735488884150982,12.699999809265137,19.5,8.899999618530273
5,60010,62.5,4.300000190734863,21.700000762939453,44031.0,0.0034263881389051676,18.0,18.899999618530273,3.799999952316284
6,60012,69.30000305175781,3.799999952316284,14.100000381469727,11081.0,0.0008622971945442259,10.5,19.700000762939453,4.0
7,60013,75.19999694824219,8.600000381469727,14.300000190734863,26811.0,0.0020863686222583055,7.599999904632568,21.200000762939453,4.100000381469727
8,60014,72.30000305175781,8.899999618530273,20.299999237060547,48234.0,0.003753455588594079,11.100000381469727,21.200000762939453,5.400000095367432
9,60015,67.30000305175781,4.5,16.700000762939453,27218.0,0.0021180403418838978,14.90000057220459,20.900001525878906,2.799999952316284
10,60016,66.9000015258789,16.100000381469727,26.5,60794.0,0.004730845335870981,14.800000190734863,16.799999237060547,8.299999237060547
11,60018,68.4000015258789,19.100000381469727,29.299999237060547,28749.0,0.002237179083749652,14.600000381469727,18.399999618530273,8.0
12,60020,69.69999694824219,10.600000381469727,32.70000076293945,10391.0,0.0008086030138656497,15.5,17.0,12.199999809265137
13,60021,78.80000305175781,10.199999809265137,19.899999618530273,5560.0,0.0004326660418882966,6.400000095367432,19.5,6.800000190734863
14,60022,60.0,0.5,14.100000381469727,8327.0,0.0006479874136857688,14.80000114440918,27.399999618530273,5.900000095367432
15,60025,64.0999984741211,8.899999618530273,24.0,38667.0,0.0030089744832366705,17.899999618530273,19.600000381469727,6.0
16,60026,59.70000076293945,8.699999809265137,24.5,13869.0,0.0010792526882141829,21.299999237060547,18.200000762939453,5.5
17,60029,67.30000305175781,1.600000023841858,17.899999618530273,435.0,3.385066884220578e-05,16.600000381469727,28.700000762939453,2.4000000953674316
18,60030,71.69999694824219,5.400000095367432,20.299999237060547,35685.0,0.0027769221924245358,12.399999618530273,21.200000762939453,4.400000095367432
19,60031,73.4000015258789,9.0,18.700000762939453,38205.0,0.002973022637888789,8.699999809265137,21.5,4.900000095367432
20,60033,68.9000015258789,20.799999237060547,35.20000076293945,13763.0,0.0010710040805861354,10.699999809265137,24.399999618530273,10.300000190734863
21,60034,67.0999984741211,12.899999618530273,26.299999237060547,1826.0,0.00014209499931894243,18.200000762939453,12.700000762939453,8.0
22,60035,64.5999984741211,6.199999809265137,24.899999618530273,29814.0,0.002320054918527603,20.100000381469727,21.200000762939453,4.800000190734863
23,60040,68.0,25.200000762939453,31.799999237060547,5439.0,0.00042325010872446,17.0,21.299999237060547,9.699999809265137
24,60041,68.80000305175781,13.399999618530273,29.899999618530273,8877.0,0.000690787099301815,13.80000114440918,17.399999618530273,10.100000381469727
25,60042,75.9000015258789,12.5,21.899999618530273,8630.0,0.0006715661729685962,7.800000190734863,21.5,6.400000095367432
26,60043,57.0,1.2999999523162842,14.800000190734863,2786.0,0.00021679991914425045,13.300000190734863,29.200000762939453,2.8000001907348633
27,60044,63.0,5.199999809265137,19.799999237060547,9867.0,0.0007678265683352947,15.5,17.19999885559082,8.700000762939453
28,60045,55.599998474121094,2.5999999046325684,20.200000762939453,20732.0,0.0016133151948451996,18.299999237060547,19.700000762939453,5.100000381469727
29,60046,72.9000015258789,6.0,15.699999809265137,34534.0,0.0026873541064560413,8.899999618530273,23.600000381469727,4.900000095367432
30,60047,72.69999694824219,4.699999809265137,12.600000381469727,42206.0,0.003284370992332697,9.200000762939453,21.099998474121094,2.700000047683716
31,60048,67.0,5.699999809265137,16.799999237060547,29480.0,0.002294063800945878,14.5,20.700000762939453,3.8000001907348633
32,60050,71.30000305175781,11.300000190734863,22.899999618530273,32369.0,0.0025188790168613195,11.799999237060547,20.200000762939453,6.699999809265137
33,60051,73.5999984741211,10.899999618530273,21.5,24664.0,0.0019192941254004836,11.59999942779541,17.600000381469727,5.699999809265137
34,60053,61.099998474121094,10.0,30.0,23341.0,0.0018163413042202592,22.299999237060547,17.100000381469727,6.5
35,60056,68.5999984741211,14.100000381469727,25.600000381469727,55611.0,0.004327516537159681,14.699999809265137,19.299999237060547,6.199999809265137
36,60060,73.5999984741211,14.699999809265137,19.899999618530273,37586.0,0.0029248534701764584,8.90000057220459,20.799999237060547,3.700000047683716
37,60061,74.0,8.0,17.200000762939453,26029.0,0.0020255150739103556,9.899999618530273,21.799999237060547,3.1999998092651367
38,60062,59.900001525878906,6.099999904632568,26.200000762939453,40095.0,0.00312009803019464,22.69999885559082,18.19999885559082,6.199999809265137
39,60064,63.70000076293945,28.200000762939453,45.79999923706055,16297.0,0.0012681939406320453,7.699999809265137,26.600000381469727,19.599998474121094
40,60067,69.80000305175781,6.699999809265137,19.5,38450.0,0.0029920879751443863,14.09999942779541,19.200000762939453,4.699999809265137
41,60068,64.4000015258789,6.400000095367432,24.600000381469727,37421.0,0.0029120135586708784,17.799999237060547,19.099998474121094,4.199999809265137
